split,subject_id,slice_id,mask_file,processed_path,single_r4_count,fixed_sum_dupACS,fixed_union,extra_sum,H,W
test,2022101101,9,2022101101_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101101_sl09.pt,16384,16384,12288,32768,256,256
test,2022101102,9,2022101102_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101102_sl09.pt,16384,16384,12288,32768,256,256
test,2022101103,9,2022101103_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101103_sl09.pt,16384,16384,12288,32768,256,256
test,2022101201,9,2022101201_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101201_sl09.pt,16384,16384,12288,32768,256,256
test,2022101204,9,2022101204_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101204_sl09.pt,16384,16384,12288,32768,256,256
test,2022101301,9,2022101301_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101301_sl09.pt,16384,16384,12288,32768,256,256
test,2022101302,9,2022101302_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101302_sl09.pt,16384,16384,12288,32768,256,256
test,2022101303,9,2022101303_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022101303_sl09.pt,16384,16384,12288,32768,256,256
test,2022112702,9,2022112702_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022112702_sl09.pt,16384,16384,12288,32768,256,256
test,2022112704,9,2022112704_sl09.pt,/home/doraviv/Lowfield_Ambient/data/m4raw/processed/mvp_t2/test/2022112704_sl09.pt,16384,16384,12288,32768,256,256
